pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
1153,G04CB01,11,2007,205.399993896,3612.0,125.379997253,0,28.0,201.402927399
1153,G04CB01,12,2007,205.399993896,2100.0,103.099998474,0,28.0,170.681249619
1194,M01AH01,5,2004,125.5,15820.0,70.1333312988,0,10.0,125.49577713
1194,M01AH01,6,2004,125.5,17350.0,70.1333312988,0,10.0,125.499420166
1194,M01AH01,7,2004,125.5,13180.0,70.1333312988,0,10.0,125.499076843
1194,M01AH01,8,2004,125.5,15207.0,70.313331604,0,10.0,125.500001907
1194,M01AH01,9,2004,125.5,16260.0,70.3933334351,0,10.0,125.491838455
1194,M01AH01,10,2004,125.5,30608.0,70.5100021362,0,10.0,125.477132797
1194,M01AH01,11,2004,125.5,25650.0,70.5100021362,0,10.0,125.485315323
1194,M01AH01,12,2004,125.5,17270.0,70.5100021362,0,10.0,125.483570099
1194,M01AH01,1,2005,126.466667175,9400.0,70.5100021362,0,10.0,126.492471695
1194,M01AH01,2,2005,126.5,6590.0,70.5100021362,0,10.0,126.499996185
1194,M01AH01,3,2005,126.5,6070.0,70.5100021362,0,10.0,126.472587585
1194,M01AH01,4,2005,126.5,5740.0,70.5100021362,0,10.0,126.499996185
1194,M01AH01,5,2005,126.5,5280.0,70.5100021362,0,10.0,126.491174698
1194,M01AH01,6,2005,126.5,6210.0,70.7066726685,0,10.0,126.497535706
1194,M01AH01,7,2005,126.479949951,4140.0,70.6000061035,0,10.0,126.499996185
1194,M01AH01,8,2005,126.099998474,4600.0,70.3933334351,0,10.0,126.091403961
1194,M01AH01,9,2005,126.099998474,4900.0,70.3866653442,0,10.0,126.085262299
1194,M01AH01,10,2005,126.099998474,4710.0,70.3866653442,0,10.0,126.095256805
1194,M01AH01,11,2005,126.099998474,5330.0,70.3866653442,0,10.0,126.072893143
1194,M01AH01,12,2005,126.099998474,4440.0,70.3866653442,0,10.0,126.099300385
1194,M01AH01,1,2006,126.099998474,4390.0,70.3866653442,0,10.0,126.099271774
1194,M01AH01,2,2006,126.099998474,4180.0,70.3866653442,0,10.0,126.097784042
1194,M01AH01,3,2006,126.099998474,4400.0,70.3866653442,0,10.0,126.09951973
1194,M01AH01,4,2006,126.099998474,3430.0,70.3866653442,0,10.0,126.058712006
1194,M01AH01,5,2006,126.099998474,3700.0,70.3866653442,0,10.0,126.099720001
1194,M01AH01,6,2006,126.099998474,3810.0,70.3866653442,0,10.0,126.098909378
1194,M01AH01,7,2006,126.099998474,2788.0,70.3866653442,0,10.0,126.099262238
1194,M01AH01,8,2006,126.099998474,3280.0,70.3866653442,0,10.0,126.099071503
1194,M01AH01,9,2006,126.099998474,3870.0,68.9400024414,0,10.0,126.099176407
1194,M01AH01,10,2006,120.368103027,3620.0,66.0433349609,0,10.0,120.015802383
1194,M01AH01,11,2006,120.0,3340.0,66.0433349609,0,10.0,119.999694824
1194,M01AH01,12,2006,120.0,3530.0,66.0433349609,0,10.0,119.999704361
1194,M01AH01,1,2007,120.0,3130.0,66.0433349609,0,10.0,119.999341965
1194,M01AH01,2,2007,120.0,2940.0,66.0433349609,0,10.0,119.998245239
1194,M01AH01,3,2007,120.0,3720.0,66.0433349609,0,10.0,119.961280823
1194,M01AH01,4,2007,120.0,3220.0,66.0433349609,0,10.0,119.999675751
1194,M01AH01,5,2007,120.0,3340.0,66.0433349609,0,10.0,119.998121262
1194,M01AH01,6,2007,120.0,3350.0,66.0400009155,0,10.0,119.910058975
1194,M01AH01,7,2007,120.0,2130.0,66.0400009155,0,10.0,120.0
1194,M01AH01,8,2007,120.0,3370.0,66.0400009155,0,10.0,119.999084473
1194,M01AH01,9,2007,120.0,2880.0,66.0400009155,0,10.0,119.999647141
1194,M01AH01,10,2007,120.0,2650.0,66.0400009155,0,10.0,119.999608994
1194,M01AH01,11,2007,120.0,2570.0,66.0400009155,0,10.0,119.994859695
1194,M01AH01,12,2007,120.0,2450.0,66.0400009155,0,10.0,119.988508224
1341,G04CB01,11,2004,1167.30004883,2842.0,688.469970703,0,98.0,1167.30008125
1341,G04CB01,12,2004,1167.30004883,22148.0,740.140014648,0,98.0,1167.30008125
1341,G04CB01,1,2005,1176.36816406,16954.0,740.140014648,0,98.0,1176.69992257
1341,G04CB01,2,2005,1176.69995117,22750.0139999,737.195007324,0,98.0,1173.17152405
1341,G04CB01,3,2005,1176.69995117,44800.0139999,738.364990234,0,98.0,1165.14377022
1341,G04CB01,4,2005,1176.69995117,52934.0139999,738.359985352,0,98.0,1164.26188087
1341,G04CB01,5,2005,1176.69995117,57821.0780001,738.364990234,0,98.0,1164.59076691
1341,G04CB01,6,2005,1176.69995117,61642.0979996,736.41003418,0,98.0,1165.64069748
1341,G04CB01,7,2005,1176.69995117,44842.1539993,727.900024414,0,98.0,1172.96264076
1341,G04CB01,8,2005,1176.69995117,63616.2099991,733.290039062,0,98.0,1167.92906762
1341,G04CB01,9,2005,1160.63696289,80738.1819992,682.193359375,0,98.0,1162.53651428
1341,G04CB01,10,2005,988.599975586,99834.2659988,619.996643066,0,98.0,985.012077328
1341,G04CB01,11,2005,988.599975586,112875.321999,619.996643066,0,98.0,983.404283526
1341,G04CB01,12,2005,988.599975586,138026.433998,628.386657715,0,98.0,983.585783005
1341,G04CB01,1,2006,988.599975586,86366.4199982,619.496643066,0,98.0,983.021938319
1341,G04CB01,2,2006,988.599975586,84504.4199982,611.5,0,98.0,983.595970154
1341,G04CB01,3,2006,988.599975586,113526.629997,610.703308105,0,98.0,983.41110611
