date,phid,chain,storesize,sale,nobs,packages,market
2004-04-01,173,2,407.0,2666709.76,4998,7217.5,51
2004-04-01,175,2,264.0,1214302.77,2396,3179.6,50
2004-04-01,176,1,236.0,1338359.28,2684,3913.452,52
2004-04-01,177,2,192.0,852438.38,2019,2671.0,53
2004-04-01,180,2,283.0,1211322.43,2671,3437.3,24
2004-04-01,181,5,560.0,1548513.02,2296,3130.951,24
2004-04-01,185,2,257.0,729435.91,1676,2288.5,54
2004-04-01,186,2,600.0,2448736.37,4407,5783.0,55
2004-04-01,187,2,325.0,1941402.76,3781,5186.0,56
2004-04-01,495,1,280.0,977051.06,1816,2478.5,56
2004-04-01,189,3,509.0,1027088.34,2123,2696.317,27
2004-04-01,191,1,330.0,1509585.96,2989,3972.6,57
2004-04-01,193,1,261.0,835567.97,2088,2685.333,11
2004-04-01,194,1,440.0,1823277.4,3816,5066.747,58
2004-04-01,195,1,300.0,991422.1,2409,3256.0,59
2004-04-01,196,2,324.0,877860.57,1672,2554.3,60
2004-04-01,197,2,300.0,1479579.9,3452,4466.5,61
2004-04-01,198,1,320.0,1999719.81,4249,5739.0,62
2004-04-01,200,3,342.0,1520866.03,3785,4851.625,63
2004-04-01,201,1,158.0,1015121.42,2314,3159.4,64
2004-04-01,204,1,0.0,1856376.03,3676,5129.459,50
2004-04-01,205,2,211.0,700137.11,1612,2031.0,6
2004-04-01,206,2,327.0,1397052.47,3183,4089.0,6
2004-04-01,252,2,200.0,643798.74,1228,1699.0,28
2004-04-01,253,2,248.0,576399.24,1416,1951.95,65
2004-04-01,257,1,90.0,1136886.3,2704,3503.0,66
2004-04-01,258,2,472.0,2268457.69,4248,5714.722,66
2004-04-01,259,1,220.0,889043.39,2213,2794.0,25
2004-04-01,260,1,256.0,935216.5,2146,2841.667,67
2004-04-01,261,1,433.0,847005.58,1879,2614.2,59
2004-04-01,262,3,325.0,2031283.57,4041,5516.0,39
2004-04-01,263,3,457.0,2404883.91,5147,6904.76,39
